,precision,recall,f1-score,support
American,0.25,0.16071428571428573,0.1956521739130435,56.0
Bakery,0.15555555555555556,0.11290322580645161,0.1308411214953271,124.0
Cafe,0.24271844660194175,0.2032520325203252,0.22123893805309736,123.0
Chinese,0.13402061855670103,0.07602339181286549,0.09701492537313433,171.0
Fast Food,0.12222222222222222,0.08148148148148149,0.09777777777777778,135.0
Mithai,0.3157894736842105,0.12244897959183673,0.17647058823529413,49.0
North Indian,0.4253554502369668,0.5993322203672788,0.49757449757449757,599.0
Other,0.4614121510673235,0.46677740863787376,0.4640792733278282,602.0
South Indian,0.043478260869565216,0.019230769230769232,0.02666666666666667,52.0
accuracy,0.3762428048142334,0.3762428048142334,0.3762428048142334,0.3762428048142334
macro avg,0.23895024208827634,0.2046848661292409,0.21192399582407406,1911.0
weighted avg,0.3416291821058813,0.3762428048142334,0.3514596203582212,1911.0
