City,Restaurant_Count,Average_Rating,Average_Votes,Average_Price_Range
New Delhi,5473,2.4388452402704184,114.80723551982459,1.6215969303855289
Gurgaon,1118,2.6514311270125224,118.21109123434705,1.8559928443649374
Noida,1080,2.0362037037037037,68.04444444444445,1.6018518518518519
Faridabad,251,1.8669322709163347,25.840637450199203,1.454183266932271
Ghaziabad,25,2.852,94.64,1.8
Bhubaneshwar,21,3.9809523809523806,202.04761904761904,1.8571428571428572
Lucknow,21,4.1952380952380945,434.76190476190476,2.5714285714285716
Guwahati,21,4.190476190476191,236.38095238095238,2.5238095238095237
Ahmedabad,21,4.161904761904762,584.0952380952381,2.5714285714285716
Amritsar,21,3.6857142857142855,174.52380952380952,1.8095238095238095
Abu Dhabi,20,4.3,302.25,3.3
Albany,20,3.5549999999999997,83.8,1.7
Agra,20,3.965,103.1,2.65
Savannah,20,4.154999999999999,768.85,2.35
Surat,20,3.935,183.35,2.65
Augusta,20,4.13,395.45,2.15
Aurangabad,20,3.375,64.8,2.2
Auckland,20,4.275,339.75,3.05
Athens,20,4.2,637.5,1.6
Ankara,20,4.305,131.35,2.8
Allahabad,20,3.3950000000000005,69.6,2.65
Chennai,20,4.3149999999999995,1384.75,2.45
Des Moines,20,4.235,554.6,2.15
Davenport,20,3.715,151.1,2.0
Dehradun,20,4.05,121.5,3.05
Boise,20,4.26,519.05,2.05
Cedar Rapids/Iowa City,20,4.165,332.3,2.05
Birmingham,20,3.6799999999999997,69.65,2.4
Bangalore,20,4.375,2805.75,2.7
Edinburgh,20,4.09,112.3,2.9
Doha,20,4.0600000000000005,163.8,3.65
Dubuque,20,3.535,101.05,1.9
Dubai,20,4.37,934.65,3.05
Dalton,20,4.11,128.05,1.4
Macon,20,4.115,263.6,2.05
Ludhiana,20,3.9799999999999995,143.05,2.65
London,20,4.535,436.2,3.0
Gainesville,20,4.035,220.4,1.75
Jaipur,20,4.13,552.4,2.85
Indore,20,3.97,238.85,2.75
Goa,20,4.245,754.9,3.65
Colombo,20,3.87,146.45,2.85
Columbus,20,4.029999999999999,269.35,2.15
Cape Town,20,4.11,270.75,3.2
Bhopal,20,3.95,143.85,2.15
Kochi,20,4.08,359.95,2.05
Kolkata,20,4.255,2229.65,2.85
Kanpur,20,3.815,94.9,2.7
Manchester,20,4.045,203.8,2.7
Mangalore,20,3.745,218.35,2.5
Sioux City,20,3.7649999999999997,157.8,1.9
Singapore,20,3.575,31.9,3.65
S��o Paulo,20,3.53,27.95,3.6
Tampa Bay,20,4.41,1370.35,2.55
